filename = Config/Base_32.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x1015 	
| V:1 D:0 Tag: 0x1015 	
| V:1 D:0 Tag: 0x1027 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1026 	
| V:1 D:1 Tag: 0x1026 	
| V:1 D:1 Tag: 0x1026 	
| V:1 D:0 Tag: 0x1026 	
| V:1 D:0 Tag: 0x1017 	
| V:1 D:0 Tag: 0x1017 	
| V:1 D:0 Tag: 0x1017 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1026 	
| V:1 D:0 Tag: 0x1026 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1017 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1027 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102d 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x1027 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1047 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:1 Tag: 0x1024 	
| V:1 D:1 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1029 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x1023 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:1 Tag: 0x1024 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x1023 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x102d 	
| V:1 D:0 Tag: 0x1029 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:1 Tag: 0x102d 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x102d 	
| V:1 D:0 Tag: 0x102d 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1029 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:1 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:1 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1029 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x1026 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x1016 	
| V:1 D:0 Tag: 0x1016 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102a 	
| V:1 D:0 Tag: 0x1071 	
| V:1 D:0 Tag: 0x100a 	
| V:1 D:0 Tag: 0x1068 	
| V:1 D:0 Tag: 0x1068 	
