filename = Base.txt
=========================L1I=========================
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806a 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:1 Tag: 0x806c 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:1 Tag: 0x806d 	
| V:1 D:1 Tag: 0x806d 	
| V:1 D:0 Tag: 0x8068 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806d 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8068 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8068 	
| V:1 D:0 Tag: 0x8068 	
| V:1 D:1 Tag: 0x806d 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:1 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806d 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8068 	
| V:1 D:0 Tag: 0x8068 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806a 	
| V:1 D:1 Tag: 0x806c 	
| V:1 D:1 Tag: 0x806c 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:1 Tag: 0x806c 	
| V:1 D:1 Tag: 0x806c 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
