filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80495b 	
| V:1 D:1 Tag: 0x4808f6 	
| V:1 D:0 Tag: 0x400207 	
| V:1 D:0 Tag: 0x8091c3 	
| V:1 D:0 Tag: 0x80e76f 	
| V:1 D:0 Tag: 0x407ffd3 	
| V:1 D:1 Tag: 0x4800be 	
| V:1 D:1 Tag: 0x4800bf 	
| V:1 D:1 Tag: 0x4800c0 	
| V:1 D:1 Tag: 0x4800c1 	
| V:1 D:1 Tag: 0x4800c2 	
| V:1 D:1 Tag: 0x4800c3 	
| V:1 D:1 Tag: 0x4800c4 	
| V:1 D:1 Tag: 0x4800c5 	
| V:1 D:1 Tag: 0x4800c6 	
| V:1 D:1 Tag: 0x4808c2 	
| V:1 D:0 Tag: 0x4001d7 	
| V:1 D:0 Tag: 0x80f535 	
| V:1 D:0 Tag: 0x80919c 	
| V:1 D:0 Tag: 0x8091a0 	
| V:1 D:1 Tag: 0x80eda7 	
| V:1 D:1 Tag: 0x4bddc7 	
| V:1 D:0 Tag: 0x80ea95 	
| V:1 D:0 Tag: 0x4bddc6 	
| V:1 D:1 Tag: 0x4ba381 	
| V:1 D:0 Tag: 0x44eb30 	
| V:1 D:0 Tag: 0x4ba3ed 	
| V:1 D:1 Tag: 0x4bddca 	
| V:1 D:1 Tag: 0x4ba37c 	
| V:1 D:0 Tag: 0x44eb31 	
| V:1 D:1 Tag: 0x4ba378 	
| V:1 D:0 Tag: 0x4ba3ec 	
| V:1 D:1 Tag: 0x4ba374 	
| V:1 D:0 Tag: 0x44eb32 	
| V:1 D:1 Tag: 0x4ba370 	
| V:1 D:0 Tag: 0x44eb33 	
| V:1 D:1 Tag: 0x4bddc9 	
| V:1 D:1 Tag: 0x4ba36d 	
| V:1 D:0 Tag: 0x44eb34 	
| V:1 D:1 Tag: 0x4ba369 	
| V:1 D:0 Tag: 0x4ba3eb 	
| V:1 D:1 Tag: 0x4ba366 	
| V:1 D:0 Tag: 0x44eb35 	
| V:1 D:1 Tag: 0x4ba364 	
| V:1 D:0 Tag: 0x44eb36 	
| V:1 D:1 Tag: 0x4bddc8 	
| V:1 D:1 Tag: 0x4ba361 	
| V:1 D:0 Tag: 0x44eb37 	
| V:1 D:1 Tag: 0x4ba35f 	
| V:1 D:0 Tag: 0x4ba3ea 	
| V:1 D:1 Tag: 0x4ba35d 	
| V:1 D:0 Tag: 0x44eb38 	
| V:1 D:0 Tag: 0x44eaed 	
| V:1 D:0 Tag: 0x44d6f2 	
| V:1 D:0 Tag: 0x80919b 	
| V:1 D:0 Tag: 0x80eda6 	
| V:1 D:0 Tag: 0x80919d 	
| V:1 D:0 Tag: 0x80e9d1 	
| V:1 D:0 Tag: 0x407ffcf 	
| V:1 D:0 Tag: 0x8092ea 	
| V:1 D:0 Tag: 0x44eaee 	
| V:1 D:0 Tag: 0x44eaf1 	
| V:1 D:0 Tag: 0x407ffbe 	
| V:1 D:0 Tag: 0x44eaf4 	
| V:1 D:0 Tag: 0x407ffb3 	
| V:1 D:0 Tag: 0x407ffb1 	
| V:1 D:0 Tag: 0x407ffb0 	
| V:1 D:0 Tag: 0x407ffb4 	
| V:1 D:0 Tag: 0x407ffae 	
| V:1 D:0 Tag: 0x407ffac 	
| V:1 D:0 Tag: 0x407ffad 	
| V:1 D:0 Tag: 0x8091ae 	
| V:1 D:0 Tag: 0x44eafa 	
| V:1 D:1 Tag: 0x407ffa4 	
| V:1 D:1 Tag: 0x407ffa3 	
| V:1 D:0 Tag: 0x807496 	
| V:1 D:1 Tag: 0x4d964c 	
| V:1 D:1 Tag: 0x407ff9f 	
| V:1 D:1 Tag: 0x407ffa0 	
| V:1 D:1 Tag: 0x407ff92 	
| V:1 D:1 Tag: 0x407ff93 	
| V:1 D:1 Tag: 0x407ff8e 	
| V:1 D:1 Tag: 0x407ff8f 	
| V:1 D:1 Tag: 0x407ff8b 	
| V:1 D:1 Tag: 0x407ff87 	
| V:1 D:0 Tag: 0x807ed6 	
| V:1 D:1 Tag: 0x407ff9b 	
| V:1 D:0 Tag: 0x8092fc 	
| V:1 D:1 Tag: 0x42ed1c 	
| V:1 D:1 Tag: 0x407ffa8 	
| V:1 D:1 Tag: 0x407ffa7 	
| V:1 D:0 Tag: 0x80eec5 	

=========================L2==========================
Index: 0x0 | V:1 D:0 Tag: 0x4024ad 	
| V:1 D:0 Tag: 0x401ff7 	
| V:1 D:0 Tag: 0x402254 	
| V:1 D:0 Tag: 0x402253 	
| V:1 D:0 Tag: 0x402252 	
| V:1 D:0 Tag: 0x402245 	
| V:1 D:0 Tag: 0x402244 	
| V:1 D:0 Tag: 0x40450c 	
| V:1 D:0 Tag: 0x40450e 	
| V:1 D:0 Tag: 0x404505 	
| V:1 D:0 Tag: 0x402243 	
| V:1 D:0 Tag: 0x404503 	
| V:1 D:0 Tag: 0x404504 	
| V:1 D:1 Tag: 0x200000 	
| V:1 D:0 Tag: 0x402246 	
| V:1 D:0 Tag: 0x402242 	
| V:1 D:0 Tag: 0x404506 	
| V:1 D:1 Tag: 0x26cb26 	
| V:1 D:0 Tag: 0x402241 	
| V:1 D:0 Tag: 0x4049d4 	
| V:1 D:1 Tag: 0x407704 	
| V:1 D:0 Tag: 0x407309 	
| V:1 D:1 Tag: 0x407705 	
| V:1 D:1 Tag: 0x21768d 	
| V:1 D:0 Tag: 0x4049d5 	
| V:1 D:0 Tag: 0x402240 	
| V:1 D:0 Tag: 0x40223f 	
| V:1 D:0 Tag: 0x40223e 	
| V:1 D:0 Tag: 0x402251 	
| V:1 D:0 Tag: 0x40479d 	
| V:1 D:1 Tag: 0x4076e5 	
| V:1 D:0 Tag: 0x401ff6 	
| V:1 D:0 Tag: 0x4045cf 	
| V:1 D:0 Tag: 0x401ff4 	
| V:1 D:0 Tag: 0x4039d2 	
| V:1 D:0 Tag: 0x40000a 	
| V:1 D:0 Tag: 0x404866 	
| V:1 D:0 Tag: 0x400009 	
| V:1 D:0 Tag: 0x404865 	
| V:1 D:0 Tag: 0x404498 	
| V:1 D:0 Tag: 0x400008 	
| V:1 D:0 Tag: 0x404a63 	
| V:1 D:0 Tag: 0x401fc6 	
| V:1 D:0 Tag: 0x401fc5 	
| V:1 D:0 Tag: 0x4049c9 	
| V:1 D:0 Tag: 0x404772 	
| V:1 D:1 Tag: 0x26cb25 	
| V:1 D:0 Tag: 0x4072f3 	
| V:1 D:1 Tag: 0x21768e 	
| V:1 D:0 Tag: 0x401ff3 	
| V:1 D:0 Tag: 0x401ff2 	
| V:1 D:1 Tag: 0x240063 	
| V:1 D:0 Tag: 0x4044f0 	
| V:1 D:1 Tag: 0x203ffd0 	
| V:1 D:0 Tag: 0x401ff1 	
| V:1 D:0 Tag: 0x4049cb 	
| V:1 D:1 Tag: 0x26cafd 	
| V:1 D:0 Tag: 0x401911 	
| V:1 D:0 Tag: 0x400b19 	
| V:1 D:0 Tag: 0x400b17 	
| V:1 D:0 Tag: 0x4015b5 	
| V:1 D:0 Tag: 0x4015b4 	
| V:1 D:0 Tag: 0x404950 	
| V:1 D:1 Tag: 0x25d16b 	
| V:1 D:0 Tag: 0x4015b3 	
| V:1 D:0 Tag: 0x401728 	
| V:1 D:0 Tag: 0x401714 	
| V:1 D:0 Tag: 0x401716 	
| V:1 D:0 Tag: 0x40170b 	
| V:1 D:0 Tag: 0x404969 	
| V:1 D:0 Tag: 0x40209d 	
| V:1 D:0 Tag: 0x40215e 	
| V:1 D:0 Tag: 0x40215d 	
| V:1 D:0 Tag: 0x40215b 	
| V:1 D:0 Tag: 0x407cdb 	
| V:1 D:1 Tag: 0x26cafe 	
| V:1 D:0 Tag: 0x407cda 	
| V:1 D:1 Tag: 0x25d169 	
| V:1 D:0 Tag: 0x402445 	
| V:1 D:0 Tag: 0x407cd9 	
| V:1 D:1 Tag: 0x25d168 	
| V:1 D:0 Tag: 0x407cd8 	
| V:1 D:1 Tag: 0x25d167 	
| V:1 D:0 Tag: 0x407ab1 	
| V:1 D:0 Tag: 0x40246c 	
| V:1 D:0 Tag: 0x402470 	
| V:1 D:0 Tag: 0x40246f 	
| V:1 D:0 Tag: 0x40246e 	
| V:1 D:0 Tag: 0x402469 	
| V:1 D:0 Tag: 0x402443 	
| V:1 D:0 Tag: 0x407cd7 	
| V:1 D:1 Tag: 0x25d165 	
| V:1 D:0 Tag: 0x40170a 	
| V:1 D:0 Tag: 0x401709 	
| V:1 D:0 Tag: 0x4016cb 	
| V:1 D:0 Tag: 0x4016ce 	
| V:1 D:0 Tag: 0x4016cd 	
