filename = Base.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807a 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x8051 	
=========================L2==========================
| V:1 D:0 Tag: 0x1009 	
| V:1 D:0 Tag: 0x1009 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:1 Tag: 0x801 	
| V:1 D:1 Tag: 0x801 	
| V:1 D:0 Tag: 0x801 	
| V:1 D:0 Tag: 0x801 	
| V:1 D:0 Tag: 0x801 	
| V:1 D:0 Tag: 0x801 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
