filename = L2-2way.txt
=========================L1I=========================
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x200e 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x2006 	| V:1 D:0 Tag: 0x2002 	
| V:1 D:0 Tag: 0x2006 	| V:1 D:0 Tag: 0x2002 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x200e 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
