filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802ada 	
| V:1 D:1 Tag: 0x203ff38 	
| V:1 D:0 Tag: 0x4035be 	
| V:1 D:0 Tag: 0x4012e2 	
| V:1 D:0 Tag: 0x4012d5 	
| V:1 D:0 Tag: 0x4012d4 	
| V:1 D:0 Tag: 0x4035c5 	
| V:1 D:0 Tag: 0x4035c4 	
| V:1 D:0 Tag: 0x4035c6 	
| V:1 D:1 Tag: 0x20040e 	
| V:1 D:0 Tag: 0x4035c3 	
| V:1 D:0 Tag: 0x4035bb 	
| V:1 D:0 Tag: 0x4035b4 	
| V:1 D:0 Tag: 0x4012d3 	
| V:1 D:0 Tag: 0x4012d2 	
| V:1 D:0 Tag: 0x4035b3 	
| V:1 D:0 Tag: 0x4035b5 	
| V:1 D:0 Tag: 0x4012d6 	
| V:1 D:1 Tag: 0x4035b2 	
| V:1 D:1 Tag: 0x20040d 	
| V:1 D:0 Tag: 0x4012d1 	
| V:1 D:0 Tag: 0x4012d0 	
| V:1 D:0 Tag: 0x4012cf 	
| V:1 D:0 Tag: 0x4012ce 	
| V:1 D:0 Tag: 0x4012e1 	
| V:1 D:0 Tag: 0x403762 	
| V:1 D:0 Tag: 0x40367d 	
| V:1 D:0 Tag: 0x403920 	
| V:1 D:0 Tag: 0x40109c 	
| V:1 D:0 Tag: 0x4039bb 	
| V:1 D:0 Tag: 0x40109b 	
| V:1 D:0 Tag: 0x400f1e 	
| V:1 D:0 Tag: 0x40000a 	
| V:1 D:0 Tag: 0x400009 	
| V:1 D:0 Tag: 0x40381b 	
| V:1 D:0 Tag: 0x40359b 	
| V:1 D:0 Tag: 0x400008 	
| V:1 D:0 Tag: 0x4039a7 	
| V:1 D:0 Tag: 0x4028b2 	
| V:1 D:0 Tag: 0x400f1d 	
| V:1 D:0 Tag: 0x400f1c 	
| V:1 D:0 Tag: 0x40109a 	
| V:1 D:0 Tag: 0x403731 	
| V:1 D:1 Tag: 0x20040c 	
| V:1 D:0 Tag: 0x401099 	
