filename = Config/All-FA_64.txt
L1ICost 1800
L1DCost 1800
I2 Size 65536
L2Cost 550
MainMemoryLatencyCost 50
BandwithCost 225
totalCost 4425
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x808d47 	
| V:1 D:1 Tag: 0x407fb6e 	
| V:1 D:1 Tag: 0x407fb6f 	
| V:1 D:1 Tag: 0x407fb70 	
| V:1 D:1 Tag: 0x407fb71 	
| V:1 D:1 Tag: 0x407fb72 	
| V:1 D:1 Tag: 0x407fb73 	
| V:1 D:1 Tag: 0x407fb74 	
| V:1 D:1 Tag: 0x407fb75 	
| V:1 D:1 Tag: 0x407fb76 	
| V:1 D:1 Tag: 0x407fb77 	
| V:1 D:1 Tag: 0x407fb78 	
| V:1 D:1 Tag: 0x407fb79 	
| V:1 D:1 Tag: 0x407fb7a 	
| V:1 D:1 Tag: 0x407fb7b 	
| V:1 D:1 Tag: 0x407fb7c 	
| V:1 D:1 Tag: 0x407fb7d 	
| V:1 D:1 Tag: 0x407fb7e 	
| V:1 D:1 Tag: 0x407fb7f 	
| V:1 D:1 Tag: 0x407fb80 	
| V:1 D:1 Tag: 0x407fb81 	
| V:1 D:1 Tag: 0x407fb82 	
| V:1 D:1 Tag: 0x407fb83 	
| V:1 D:1 Tag: 0x407fb84 	
| V:1 D:1 Tag: 0x407fb85 	
| V:1 D:1 Tag: 0x407fb86 	
| V:1 D:1 Tag: 0x407fb87 	
| V:1 D:1 Tag: 0x407fb88 	
| V:1 D:1 Tag: 0x407fb89 	
| V:1 D:1 Tag: 0x407fb8a 	
| V:1 D:1 Tag: 0x407fb8c 	
| V:1 D:1 Tag: 0x407fb8d 	
| V:1 D:1 Tag: 0x407fb8e 	
| V:1 D:1 Tag: 0x407fb8f 	
| V:1 D:1 Tag: 0x407fb90 	
| V:1 D:1 Tag: 0x407fb91 	
| V:1 D:1 Tag: 0x407fbd6 	
| V:1 D:1 Tag: 0x407fb97 	
| V:1 D:1 Tag: 0x407fb98 	
| V:1 D:1 Tag: 0x407fba3 	
| V:1 D:1 Tag: 0x407fba5 	
| V:1 D:1 Tag: 0x407fba6 	

=========================L2==========================
Index: 0x0 | V:1 D:0 Tag: 0x404804 	
| V:1 D:0 Tag: 0x404803 	
| V:1 D:0 Tag: 0x404793 	
| V:1 D:0 Tag: 0x40477d 	
| V:1 D:0 Tag: 0x40477c 	
| V:1 D:0 Tag: 0x4047ed 	
| V:1 D:0 Tag: 0x4047ec 	
| V:1 D:0 Tag: 0x4046b3 	
| V:1 D:0 Tag: 0x402972 	
| V:1 D:0 Tag: 0x40296f 	
| V:1 D:1 Tag: 0x203fdd3 	
| V:1 D:0 Tag: 0x203fe3b 	
| V:1 D:1 Tag: 0x203fdd4 	
| V:1 D:0 Tag: 0x4046ae 	
| V:1 D:0 Tag: 0x4046b0 	
| V:1 D:0 Tag: 0x4029ad 	
| V:1 D:0 Tag: 0x4029ac 	
| V:1 D:0 Tag: 0x4029c4 	
| V:1 D:0 Tag: 0x40299a 	
| V:1 D:0 Tag: 0x4046af 	
| V:1 D:0 Tag: 0x4046ad 	
| V:1 D:0 Tag: 0x403b6c 	
| V:1 D:0 Tag: 0x402e67 	
| V:1 D:0 Tag: 0x402e6b 	
| V:1 D:0 Tag: 0x402e6a 	
| V:1 D:0 Tag: 0x403621 	
| V:1 D:0 Tag: 0x4035aa 	
| V:1 D:0 Tag: 0x403620 	
| V:1 D:0 Tag: 0x402e66 	
| V:1 D:0 Tag: 0x402e69 	
| V:1 D:0 Tag: 0x403623 	
| V:1 D:0 Tag: 0x403622 	
| V:1 D:0 Tag: 0x408d87 	
| V:1 D:1 Tag: 0x203fdd5 	
| V:1 D:0 Tag: 0x40887b 	
| V:1 D:0 Tag: 0x402e79 	
| V:1 D:0 Tag: 0x402e68 	
| V:1 D:0 Tag: 0x403bc1 	
| V:1 D:0 Tag: 0x403bc0 	
| V:1 D:0 Tag: 0x402e65 	
| V:1 D:0 Tag: 0x402e64 	
| V:1 D:0 Tag: 0x402eb8 	
| V:1 D:0 Tag: 0x402eb7 	
| V:1 D:0 Tag: 0x402ea2 	
| V:1 D:0 Tag: 0x402ea6 	
| V:1 D:0 Tag: 0x402ea1 	
| V:1 D:1 Tag: 0x203fdd6 	
| V:1 D:0 Tag: 0x408851 	
| V:1 D:0 Tag: 0x40884f 	
| V:1 D:1 Tag: 0x203fdd7 	
| V:1 D:0 Tag: 0x402ea0 	
| V:1 D:0 Tag: 0x403b6b 	
| V:1 D:0 Tag: 0x4028b1 	
| V:1 D:0 Tag: 0x4028b2 	
| V:1 D:0 Tag: 0x4028b8 	
| V:1 D:0 Tag: 0x4028b7 	
| V:1 D:0 Tag: 0x4028a5 	
| V:1 D:0 Tag: 0x40289e 	
| V:1 D:0 Tag: 0x4046ac 	
| V:1 D:0 Tag: 0x203fed9 	
| V:1 D:1 Tag: 0x203fdd8 	
| V:1 D:0 Tag: 0x4046a4 	
| V:1 D:0 Tag: 0x4046aa 	
| V:1 D:0 Tag: 0x4046b2 	
| V:1 D:0 Tag: 0x402971 	
| V:1 D:0 Tag: 0x402970 	
| V:1 D:0 Tag: 0x408dac 	
| V:1 D:0 Tag: 0x40298a 	
| V:1 D:0 Tag: 0x402986 	
| V:1 D:0 Tag: 0x408842 	
| V:1 D:1 Tag: 0x203fdd9 	
| V:1 D:0 Tag: 0x403c09 	
| V:1 D:0 Tag: 0x403c08 	
| V:1 D:0 Tag: 0x403c26 	
| V:1 D:0 Tag: 0x403c25 	
| V:1 D:0 Tag: 0x403c0c 	
| V:1 D:0 Tag: 0x403c0d 	
| V:1 D:0 Tag: 0x403c0a 	
| V:1 D:0 Tag: 0x403c05 	
| V:1 D:0 Tag: 0x403c23 	
| V:1 D:0 Tag: 0x403c0b 	
| V:1 D:0 Tag: 0x403c0e 	
